Site ID,Name,Principal Investigator,Data Use Policy,AmeriFlux BASE Data,AmeriFlux FLUXNET Data,Vegetation Abbreviation (IGBP),Vegetation Description (IGBP),Climate Class Abbreviation (Koeppen),Climate Class Description (Koeppen),Mean Average Precipitation (mm),Mean Average Temperature (degrees C),Country,Latitude (degrees),Longitude (degrees),Elevation (m),Number of years of AmeriFlux BASE data,AmeriFlux BASE Data Start,AmeriFlux BASE Data End,Years of AmeriFlux BASE Data,AmeriFlux BASE DOI,AmeriFlux FLUXNET Data Start,AmeriFlux FLUXNET Data End,Years of AmeriFlux FLUXNET Data,AmeriFlux FLUXNET DOI,Site Start,Site End,BASE variables available,FLUXNET variables available
BR-Sa1,Santarem-Km67-Primary Forest,Scott Saleska (saleska@email.arizona.edu),CC-BY-4.0,Yes,No,EBF,Evergreen Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees and shrubs remain green year round. Canopy is never without green foliage.,Am,Tropical monsoon,2074.79,26.13,Brazil,-2.8567,-54.9589,88,10,2002,2011,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011",https://doi.org/10.17190/AMF/1245994,,,,,2002,,"CO2, FC, H, H2O, LE, NEE, NETRAD, PA, PPFD_IN, RECO, RH, SC, TA, USTAR, VPD, WD, WS",
BR-Sa3,Santarem-Km83-Logged Forest,Mike Goulden (mgoulden@uci.edu),CC-BY-4.0,Yes,No,EBF,Evergreen Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees and shrubs remain green year round. Canopy is never without green foliage.,Am,Tropical monsoon,2043.77,26.12,Brazil,-3.018,-54.9714,100,5,2000,2004,"2000, 2001, 2002, 2003, 2004",https://doi.org/10.17190/AMF/1245995,,,,,2000,2003,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",
CA-Ca1,British Columbia - 1949 Douglas-fir stand,T. Andrew Black (andrew.black@ubc.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfb,"Marine West Coast: mild with no dry season, warm summer",1369,9.93,Canada,49.8673,-125.3336,300,15,1996,2010,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1480300,1996,2010,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/2007163,1997,,"CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, PA, PPFD_BC_IN, PPFD_DIF, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SB, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, T_BOLE, TS, T_SONIC, USTAR, WD, WS",
CA-Ca2,British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000),T. Andrew Black (andrew.black@ubc.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfb,"Marine West Coast: mild with no dry season, warm summer",1474,9.86,Canada,49.8705,-125.2909,300,12,1999,2010,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1480301,1999,2010,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/2007164,2000,,"CO2, FC, G, GPP, H, H2O, LE, NEE, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SB, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, T_BOLE, TS, USTAR, WD, WS",
CA-Ca3,British Columbia - Pole sapling Douglas-fir stand,T. Andrew Black (andrew.black@ubc.ca),CC-BY-4.0,Yes,No,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfb,"Marine West Coast: mild with no dry season, warm summer",1676,9.94,Canada,49.5346,-124.9004,,22,2001,2022,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1480302,,,,,2001,,"CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SB, SC, SG, SH, SLE, SWC, SW_IN, SW_OUT, TA, T_BOLE, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",
CA-Cbo,"Ontario - Mixed Deciduous, Borden Forest Site",Ralf Staebler (Ralf.Staebler@ec.gc.ca),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,876.34,6.66,Canada,44.3167,-79.9333,120,27,1994,2020,"1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1498755,1994,2020,"1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1854365,1995,,"CO2, CO2_SIGMA, FC, FO3, G, H, H2O, LE, LEAF_WET, LW_IN, LW_OUT, NEE, NETRAD, O3, PA, PPFD_IN, PPFD_OUT, RH, SC, SO2, SWC, SW_IN, SW_OUT, TA, T_BOLE, TS, T_SONIC, USTAR, WD, WS, W_SIGMA",
CA-Gro,"Ontario - Groundhog River, Boreal Mixedwood Forest",Harry McCaughey (mccaughe@queensu.ca),CC-BY-4.0,Yes,Yes,MF,Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,831,1.3,Canada,48.2167,-82.1556,340,12,2003,2014,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014",https://doi.org/10.17190/AMF/1245996,2003,2014,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014",https://doi.org/10.17190/AMF/1902823,2003,,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",
CA-LP1,British Columbia - Mountain pine beetle-attacked lodgepole pine stand ,Thomas Andrew Black (andrew.black@ubc.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csa,"Mediterranean: mild with dry, hot summer",570,2,Canada,55.1119,-122.8414,751,16,2007,2022,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1660337,2007,2022,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1832155,2007,,"CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, WD, WS",
CA-Man,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),Brian Amiro (Brian_Amiro@umanitoba.ca),CC-BY-4.0,Yes,No,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",520,-3.2,Canada,55.8796,-98.4808,259,15,1994,2008,"1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008",https://doi.org/10.17190/AMF/1245997,,,,,1994,2008,"CO2, FC, GPP, H, H2O, LE, NEE, NETRAD, PA, PPFD_BC_IN, PPFD_IN, P_RAIN, RECO, RH, SC, TA, TS, USTAR, WD, WS, ZL",
CA-Mer,"Ontario - Eastern Peatland, Mer Bleue",Peter Lafleur (plafleur@trentu.ca),CC-BY-4.0,Yes,No,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Dfb,Warm Summer Continental: significant precipitation in all seasons ,943,6,Canada,45.4094,-75.5186,70,23,1998,2020,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/2448423,,,,,1998,,"CO2, D_SNOW, FC, FC_SSITC_TEST, G, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NEE, PA, PPFD_IN, PPFD_OUT, P_RAIN, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, WTD",
