Climateclass,IGBP,MAP,MAT,canopyH_Lang,sd_Lang,site_ID,source,timestamp,.geo
Dfa,DBF,849,10.1,24.74551375,6.518326293,US-Oho,AmeriFlux_FLUXNET,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-83.84380378368378,41.56349981514628],[-83.85093891655673,41.561744815767334],[-83.8552905335101,41.557164491911664],[-83.85516183627698,41.55154552722984],[-83.85060402720508,41.54707930496941],[-83.84339491778545,41.54550728692369],[-83.83634520817347,41.54744235700463],[-83.83220351407716,41.552130082390406],[-83.832585491946,41.557742598205266],[-83.8373431762412,41.56209098486295],[-83.84380378368378,41.56349981514628]]]}"
Dfa,GRA,879,6.4,7.530434697,4.73316235,US-Ro4,AmeriFlux_FLUXNET,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-93.07230581468272,44.68710010308511],[-93.07981489407484,44.68534507822884],[-93.08439447675718,44.68076471382063],[-93.08425891567445,44.67514575061076],[-93.07946226586162,44.67067956976697],[-93.0718755329417,44.669107574778856],[-93.06445654193803,44.67104261710466],[-93.06009779417455,44.67573030298842],[-93.06049966585392,44.68134282316447],[-93.0655066078431,44.68569125191379],[-93.07230581468272,44.68710010308511]]]}"
Dfa,DBF,1138,11.04,22.39228506,5.958072104,US-Slt,AmeriFlux_BASE,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-74.59600276332552,39.92280033713718],[-74.60296402972021,39.921045350168605],[-74.6072096526575,39.91646504606707],[-74.6070841451838,39.910846080668684],[-74.6026373855492,39.90637983823319],[-74.59560385489249,39.90480780895534],[-74.58872584522024,39.906742892556714],[-74.58468507037595,39.91143063718483],[-74.58505779694111,39.91704315087477],[-74.58969958765628,39.92139151702869],[-74.59600276332552,39.92280033713718]]]}"
Dfb,DBF,876.34,6.66,23.1738553,5.729465759,CA-Cbo,AmeriFlux_FLUXNET,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-79.93329701464124,44.32569888090543],[-79.9407596851459,44.32394385913372],[-79.94531097622341,44.31936349963517],[-79.94517626726818,44.313744536247015],[-79.94040925887529,44.30927835038896],[-79.93286939069806,44.30770635260931],[-79.92549622916248,44.30964139829537],[-79.92116441897002,44.31432908896162],[-79.92156382201462,44.31994160860973],[-79.92653982992047,44.324290032263036],[-79.93329701464124,44.32569888090543]]]}"
Dfb,MF,831,1.3,18.45836852,5.153446124,CA-Gro,AmeriFlux_FLUXNET,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-82.15560150215234,48.22570000786605],[-82.16361506157355,48.2239449505988],[-82.16850217848587,48.219364534603216],[-82.16835734859278,48.21374557326773],[-82.16323848820419,48.20927944511049],[-82.15514232988498,48.20770747945339],[-82.14722516667061,48.209642486472546],[-82.14257359901717,48.21433012210507],[-82.14300229935655,48.219942647827175],[-82.14834550070665,48.22429113012204],[-82.15560150215234,48.22570000786605]]]}"
Dfb,ENF,570,2,10.07556368,6.90433239,CA-LP1,AmeriFlux_FLUXNET,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-122.84139822051903,55.12089714883049],[-122.8507338795802,55.11914201318543],[-122.85642690825883,55.11456147244603],[-122.85625772912223,55.108942515651776],[-122.85029446075157,55.10447651489605],[-122.84086334046516,55.10290462016052],[-122.83164070087923,55.104839541808914],[-122.82622173954749,55.10952705592747],[-122.8267206887665,55.115139595051865],[-122.83294508739033,55.119488206826915],[-122.84139822051903,55.12089714883049]]]}"
Dfb,ENF,1036,8,21.0625008,5.023228319,CA-TP3,AmeriFlux_FLUXNET,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-80.34829663148334,42.71579841387249],[-80.3555627933631,42.7140434053951],[-80.35999428885582,42.70946306705719],[-80.35986318713734,42.70384410290089],[-80.35522168930686,42.69937789543129],[-80.34788026151966,42.697805885620035],[-80.340701156631,42.6997409457889],[-80.33648340796086,42.70442865706764],[-80.33687235712681,42.710041174440114],[-80.34171738051064,42.714389576129655],[-80.34829663148334,42.71579841387249]]]}"
Dfb,WET,NA,NA,22.47678723,5.113742244,US-ALQ,AmeriFlux_FLUXNET,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-89.60669693504565,46.03979962135529],[-89.61438773004195,46.03804458460186],[-89.61907808877447,46.03346420125716],[-89.61893919030828,46.02784523873509],[-89.6140264787074,46.023379077231276],[-89.6062562466943,46.02180709301],[-89.59865781016605,46.02374212237544],[-89.59419358747742,46.028429789813195],[-89.5946051242869,46.03404231202531],[-89.59973318911582,46.03839076042989],[-89.60669693504565,46.03979962135529]]]}"
Dfb,ENF,1070,5.27,18.70600439,4.968328864,US-Ho1,AmeriFlux_FLUXNET,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-68.740195323313,45.21310012245065],[-68.74777353234563,45.211345093035504],[-68.75239525743534,45.206764721371],[-68.75225842688147,45.20114575842465],[-68.7474176239138,45.19667958499178],[-68.73976108259268,45.19510759412943],[-68.73227382529355,45.19704263148892],[-68.72787495193944,45.201730310304335],[-68.72828050067208,45.207342831260625],[-68.73333352125947,45.21169126754166],[-68.740195323313,45.21310012245065]]]}"
Dfb,ENF,1064,5.13,18.94722431,5.024730756,US-Ho2,AmeriFlux_FLUXNET,1577836800000,"{""type"":""Polygon"",""coordinates"":[[[-68.74699991152056,45.21809877473156],[-68.75457878668138,45.216343745272695],[-68.75920091785149,45.21176337353858],[-68.75906407506412,45.20614441059476],[-68.7542228466401,45.20167823723297],[-68.7465656326519,45.20010624641021],[-68.73907771754523,45.20204128372206],[-68.73467845754391,45.20672896246968],[-68.73508404170735,45.21234148343345],[-68.74013750630405,45.21668991978673],[-68.74699991152056,45.21809877473156]]]}"
