site_ID,source,Lat,Long,IGBP,MAT,MAP,Climate.class,PET,AET,AI,category
CA-Ca1,AmeriFlux_FLUXNET,49.8673,-125.3336,ENF,9.93,1369,Cfb,675.5565562,363.7946332,0.538510995,cold
CA-Cbo,AmeriFlux_FLUXNET,44.3167,-79.9333,DBF,6.66,876.34,Dfb,770.7697236,477.0786933,0.618963977,cold
CA-Gro,AmeriFlux_FLUXNET,48.2167,-82.1556,MF,1.3,831,Dfb,443.2856529,381.3331719,0.860242531,cold
CA-LP1,AmeriFlux_FLUXNET,55.1119,-122.8414,ENF,2,570,Dfb,372.0046985,249.9151893,0.67180654,cold
CA-Qfo,AmeriFlux_FLUXNET,49.6925,-74.3421,ENF,-0.36,962.32,Dfc,383.6440174,292.7705732,0.763130819,cold
CA-TP3,AmeriFlux_FLUXNET,42.7068,-80.3483,ENF,8,1036,Dfb,776.0928747,443.9146489,0.571986502,cold
CL-SDF,AmeriFlux_FLUXNET,-41.883,-73.676,EBF,10,2110,Cfb,950.3468574,648.478176,0.682359468,cold
US-ALQ,AmeriFlux_FLUXNET,46.0308,-89.6067,WET,NA,NA,Dfb,431.8046823,505.4509473,1.170554577,cold
US-BZB,AmeriFlux_FLUXNET,64.6955,-148.3208,WET,-2.4,274,Dfd,325.9882012,261.3048346,0.801577584,cold
US-BZF,AmeriFlux_FLUXNET,64.7013,-148.3121,WET,-2.4,274,Dfd,344.099389,318.6024797,0.925902486,cold
US-BZS,AmeriFlux_FLUXNET,64.6963,-148.3235,ENF,-2.4,274,Dfd,260.6107956,248.0794703,0.951915556,cold
US-EML,AmeriFlux_FLUXNET,63.8784,-149.2536,OSH,-1,378,ET,418.4570868,270.3740692,0.646121377,cold
US-GLE,AmeriFlux_FLUXNET,41.3665,-106.2399,ENF,0.8,1200,Dfc,428.0521281,563.2406262,1.315822512,cold
US-Ho1,AmeriFlux_FLUXNET,45.2041,-68.7402,ENF,5.27,1070,Dfb,641.36475,356.7447413,0.556227547,cold
US-Ho2,AmeriFlux_FLUXNET,45.2091,-68.747,ENF,5.13,1064,Dfb,805.4906059,393.6936525,0.488762562,cold
US-ICh,AmeriFlux_FLUXNET,68.6068,-149.2958,OSH,-7.4,318,ET,265.9128848,137.2888275,0.516292498,cold
US-ICs,AmeriFlux_FLUXNET,68.6058,-149.311,WET,-7.4,318,ET,242.4819964,136.20655,0.561718198,cold
US-ICt,AmeriFlux_FLUXNET,68.6063,-149.3041,OSH,-7.4,318,ET,316.2466264,170.6203804,0.53951684,cold
US-KFS,AmeriFlux_FLUXNET,39.0561,-95.1907,GRA,12,1014,Cfa,951.4101736,572.1877458,0.601410161,wet
US-Kon,AmeriFlux_FLUXNET,39.0824,-96.5603,GRA,12.77,867,Cfa,1077.152906,725.3616153,0.673406358,wet
US-Me2,AmeriFlux_FLUXNET,44.4526,-121.5589,ENF,6.28,523,Csb,1146.139375,485.3325504,0.423449854,dry
US-MOz,AmeriFlux_FLUXNET,38.7441,-92.2,DBF,12.11,986,Cfa,1202.551321,586.528736,0.487736968,wet
US-NC4,AmeriFlux_FLUXNET,35.7879,-75.9038,WET,16.6,1311,Cfa,997.728318,998.919249,1.001193643,wet
US-Oho,AmeriFlux_FLUXNET,41.5545,-83.8438,DBF,10.1,849,Dfa,902.3553223,614.6425975,0.681153623,cold
US-Rls,AmeriFlux_FLUXNET,43.1439,-116.7356,CSH,8.4,333,Bsh,1250.210772,383.3746631,0.306648024,dry
US-Rms,AmeriFlux_FLUXNET,43.0645,-116.7486,CSH,5.4,800,Bsh,911.9961862,453.8464454,0.497640727,dry
US-Ro4,AmeriFlux_FLUXNET,44.6781,-93.0723,GRA,6.4,879,Dfa,625.1460725,394.6219877,0.631247648,cold
US-Rwf,AmeriFlux_FLUXNET,43.1207,-116.7231,CSH,6.5,505,Bsh,1044.199486,504.7688317,0.483402682,dry
US-Rws,AmeriFlux_FLUXNET,43.1675,-116.7132,OSH,8.9,290,Bsk,825.2004419,278.9739721,0.338068132,dry
US-Syv,AmeriFlux_FLUXNET,46.242,-89.3477,MF,3.81,826,Dfb,529.0697489,533.0426373,1.007509196,cold
US-Ton,AmeriFlux_FLUXNET,38.4309,-120.966,WSA,15.8,559,Csa,1488.380728,393.4496521,0.264347451,dry
US-Tw1,AmeriFlux_FLUXNET,38.1074,-121.6469,WET,15.5,421,Csa,1022.221535,941.072119,0.920614648,wet
