"site_ID","year_start","year_end","NEE","NEEtrend_lm","NEEp","GPP","GPPtrend_lm","GPPp","ER","ERtrend_lm","ERp","source","Lat","TA_t","TA_p","TA_gs_t","TA_gs_p","TA_ngs_t","TA_ngs_p","P_t","P_p","P_gs_t","P_gs_p","P_ngs_t","P_ngs_p","VPD_t","VPD_p","VPD_gs_t","VPD_gs_p","VPD_ngs_t","VPD_ngs_p","SW_t","SW_p","SW_gs_t","SW_gs_p","SW_ngs_t","SW_ngs_p","LE_t","LE_p","LE_gs_t","LE_gs_p","LE_ngs_t","LE_ngs_p","CO2_t","CO2_p","Lgs_t","Lgs_p","Lgs_piece_t","Lgs_piece_p","MAT","MAP","Height","Age","Nmean","Ntrend_lm","Np","IGBP"
"BE-Bra",1999,2009,-71.5170258879955,-0.234907296472312,0.0101752135033245,1324.27296537772,0.030167885692716,0.793396619764929,1334.47577169466,-0.102679909942592,0.358462623530776,"EuropFlux_FLUXNET2023",51.30761,0.0869741754115646,0.441016012796527,0.121804917691576,0.26916742141446,0.0625674640667008,0.583646558984031,-0.149743130233452,0.162827087548845,-0.0851034786114114,0.451362121871187,-0.154995086435013,0.146136120357645,0.221609971450681,0.0195536695503342,0.218949435979768,0.02194098825463,0.187081105489743,0.0664714654550458,0.197292907056838,0.0487569604070117,0.108429185856293,0.330272361151132,0.211022558242365,0.0301737990467246,0.134372311942243,0.217698205667659,0.154521140670095,0.147599357805117,-0.0990276517803008,0.376949651945042,NA,0.619201978163469,-0.140671010051126,0.197006164013268,-0.140671010051126,0.197006164013268,9.8,750,20.32697944,78,37.2126426696777,-0.230037691854099,3.43468180275733e-05,"MF"
"BE-Bra",2011,2023,-206.935653598073,0.00584524601262103,0.941157667357015,1702.70636479284,0.0286342893351821,0.716834400226242,1636.13724535034,-0.040408481384614,0.607638738820522,"EuropFlux_FLUXNET2023",51.30761,0.150244212175649,0.0356705524591315,0.181951445980432,0.00670330869867929,0.0948356312521155,0.2142491180422,0.0857591867512664,0.2805124985218,-0.0595323339205885,0.445954240528566,0.00776259056101979,0.921902686662506,0.142644176207006,0.0487216684075599,0.147287127478111,0.040401375990618,0.0828736825040863,0.282130354652921,0.167673599179531,0.0155282802767163,0.194794948783034,0.0026454610493539,0.0143375599090891,0.856229186657911,0.163307822122154,0.0194598293737155,0.124848892409825,0.0920435046927893,0.182268750345426,0.00656579308274101,0.228391828278721,4.7102017174505e-05,-0.125689856936312,0.0895500690954422,-0.125689856936312,0.0895500690954422,9.8,750,20.32697944,91,37.2126426696777,-0.230037691854099,3.43468180275733e-05,"MF"
"BE-Dor",2011,2023,-73.8127326039416,0.193598732512096,0.0148294325055925,2122.93658322248,-0.000545317591433873,0.995358783074041,2076.34872134487,0.0504150667828956,0.587489153734939,"EuropFlux_FLUXNET2023",50.311876,0.163655772281139,0.05185518614518,0.163671703277482,0.0518264317516582,0.100833009936621,0.264642738190871,0.137708660743081,0.11442753745994,-0.00345404341045142,0.970607847972857,0.223832782600122,0.00207984912538313,0.232964812908473,0.000878058443127401,0.223508044130194,0.00213778275774127,0.229617426359924,0.00123121827098851,0.191481852487761,0.016473856642327,0.216935054965279,0.00358956815334545,-0.131597916478937,0.134122862900494,0.319454036673757,0.385386969042678,0.249623158138359,0.510837161440828,0.555351179553279,0.0501535371511124,0.13948227746071,0.109082784585087,-0.137631236854499,0.114664625237927,-0.158047892469696,0.0626693499088172,10.0743084379615,638.875545454537,5.388118879,NA,21.6849976948329,-0.201126388304122,0.00153979351792421,"GRA"
"BE-Maa",2016,2023,-2.9210306964222,0.365824028976254,0.00179309813963805,764.104689453375,0.355045900294175,0.00442570559093817,745.761862661245,0.364612959618651,0.0020217798519123,"EuropFlux_FLUXNET2023",50.979868,0.215503014211813,0.198448695984511,0.162054126436685,0.354001451683778,0.211365721573124,0.209008011618839,0.0625582721780459,0.739509702928955,-0.0480264805327452,0.79257401088628,0.031852699077616,0.861841938266751,0.132228405755162,0.457036068267266,0.167655394733187,0.335854962993046,0.030635041631364,0.867090145319803,0.178801617400799,0.30096673108173,0.25469075778185,0.111860540510197,-0.0788455783673465,0.66383764138636,0.222639826354651,0.180855485996808,0.203997699645012,0.228456911479841,0.248938973705465,0.123011559638731,0.197710291019499,0.245694423497558,0.232732432446868,0.163530666930578,0.244280307612822,0.136588886808351,10.9,816.4,12.51372303,NA,35.1006543295724,-0.218597085568257,0.000222817775465797,"CSH"
"BE-Vie",1997,2011,-506.26666644088,0.0169854590996363,0.787881911318353,1764.67553663333,0.14135894450823,0.011451817191632,1279.63061072271,0.168350358884011,0.00119687874325894,"EuropFlux_FLUXNET2023",50.304962,0.0478075401200802,0.444196048530315,0.0931320530429236,0.122511381594638,-0.00443367328294223,0.944084294381849,-0.0705871087220443,0.251732885620365,-0.0274296330681103,0.663177758554232,-0.0727892789966165,0.23642665097347,0.0226273734663368,0.719714590065823,0.01260905408665,0.841788754347168,0.0477565676307556,0.444693533418911,0.0282470225621864,0.653711080073317,0.019804449728115,0.75361089898181,0.0347236957281005,0.580519375704502,0.13704366429462,0.0151296094244063,0.123526026094962,0.0327216018298461,0.100054243094241,0.0944418512618194,NA,0.919331290383394,0.0794318024038311,0.198352455938763,0.0803868355808696,0.19260104057248,7.8,1062,25.12945726,93,18.9788641929626,-0.194896246184357,0.002623938516047,"MF"
"BE-Vie",2013,2023,-501.843275699463,-0.210196517232214,0.0171098032408659,1842.29291529752,-0.223125587092946,0.00921775816391745,1467.37279122808,-0.179673220373417,0.0530278315325525,"EuropFlux_FLUXNET2023",50.304962,0.130827908679765,0.182408208831552,0.136354502937687,0.162547601023715,0.086565908147976,0.391980853201231,0.220494877507697,0.0105469394147813,0.084291439707618,0.405084459658034,0.251061458275703,0.00146552438665984,0.1422472662386,0.142909592157431,0.138884581435009,0.153922591196355,0.103188840035661,0.302909411784191,0.20893297730184,0.0180786874110595,0.20944622182446,0.017680518802342,0.13708520419465,0.160026639700445,0.0275877812183591,0.789040416819983,-0.0355347951743342,0.730007937070741,0.133834576485665,0.171429118226574,0.130125021533187,0.185034997539112,0.0966868565261852,0.336316404178884,0.0966868565261852,0.336316404178884,7.8,1062,25.12945726,107,18.9788641929626,-0.194896246184357,0.002623938516047,"MF"
"BR-Sa1",2002,2011,-7.12337527370456,-0.0661830459427803,0.602950726213906,3444.98455585287,-0.215853461663077,0.0363788075332389,3437.86118057916,-0.212439431606423,0.0415727090430014,"AmeriFlux_BASE",-2.8567,-0.0128076812294779,0.920975733968964,-0.0128076812294779,0.920975733968964,-0.0128076812294779,0.920975733968964,0.193186556997674,0.0781381530999918,0.193186556997674,0.0781381530999918,0.193186556997674,0.0781381530999918,0.0215844286294379,0.867088643844051,0.0215844286294379,0.867088643844051,0.0215844286294379,0.867088643844051,-0.0400694960163957,0.755121692257425,-0.0400694960163957,0.755121692257425,-0.0400694960163957,0.755121692257425,-0.127099380226558,0.296113642196987,-0.127099380226558,0.296113642196987,-0.127099380226558,0.296113642196987,0.259068421614269,0.00146978870464563,0,0,0,0,26.13,2074.79,40,300.5,11.6348099708557,0.159799209850432,0.0231217977463785,"EBF"
"CA-Ca1",1998,2010,-338.448692307692,-0.130535672485553,0.0760834466822802,1948.47692307692,0.190850185071323,0.0035962192954044,1560.80230769231,0.130404993370293,0.0764268371677038,"AmeriFlux_FLUXNET",49.8673,0.0230204205626821,0.770852752333407,0.0251523223101111,0.750212786137801,0.0100843309334177,0.898639811357599,0.0122741004264177,0.876767057928286,0.0608735304925327,0.435477660932701,-0.0139199649242186,0.860379238985796,0.0725610133288,0.349543380534639,0.055820294948871,0.475577931239921,0.100175820829015,0.187550880213459,-0.0192285236184058,0.807901642423472,-0.00506099167328868,0.949042607819823,-0.0530050175867269,0.498642355255273,0.107214897352492,0.155718861892198,0.0759747976891273,0.326331267442501,0.093894695048498,0.219183482535806,0.251292367539434,6.63395428906531e-09,0.0106188695889174,0.893293868808717,-0.0593665835875991,0.447257436938217,9.93,1369,21.52961167,63,5.49575577463423,-0.167187354213928,0.0159338101471004,"ENF"
"CA-Ca3",2002,2014,-144.973295499764,-0.234501597394611,1.30170063936076e-05,1887.63877593112,0.127814724810464,0.0834578370642873,1873.61987781245,-0.0512956371564088,0.512889770869392,"AmeriFlux_BASE",49.5346,0.140239069773232,0.053483452031514,0.128729655827083,0.0809252280100809,0.137090626029085,0.0602066132345886,-0.000425363574787434,0.995714681366401,0.0607647196246734,0.436323060003404,-0.0126501913650907,0.873018118964569,-0.186894547046231,0.00479585890425532,-0.153417651916232,0.0310565478952856,-0.196856170257045,0.00223364562300511,0.108144144679868,0.151798086630167,0.00679618499671171,0.931603551740113,0.190891333670353,0.00358510339355215,-0.0285248989873154,0.717876338851705,0.113390367320122,0.130870189904347,-0.141416202294958,0.0511132287405917,0.202343788043152,0.00137688898383942,0.0592078774157204,0.473878536644052,0.0792028355864943,0.332660984404738,9.94,1676,24.83058992,21,8.36709039551871,-0.233867307606364,1.5116958691768e-05,"ENF"
"CA-Ca3",2016,2022,-519.587477568319,-0.172460101312934,0.410491991907672,1694.89258417502,0.101020024835075,0.638282611671636,1346.08085515182,0.0470655349312699,0.828285020943895,"AmeriFlux_BASE",49.5346,0.303161693507418,0.110383119514428,0.158608047104845,0.451862214659391,0.278278893817417,0.153378321281202,-0.240363846233404,0.232360904994407,0.194237016071422,0.34868062828487,-0.263098047241131,0.18309543870064,0.380399272058292,0.0233457167045874,0.233299053426405,0.248795023793937,0.40634011242075,0.00937854782476108,0.320533741488526,0.0846689204191831,0.0877503594928615,0.683939472238907,0.338614188399077,0.0617082975284833,-0.00620276565494737,0.977254335423247,-0.126087151009059,0.554554852069223,0.0843238395496119,0.69586015040387,0.216819072174197,0.289119410582439,0.0712351356291003,0.741838102210181,0.047574071700496,0.826449194889693,9.94,1676,24.83058992,32,8.36709039551871,-0.233867307606364,1.5116958691768e-05,"ENF"
