"site_ID","PET","AET","AI"
"CA-Ca1",675.556556220821,363.794633236816,0.538510994951993
"CA-Cbo",770.769723608716,477.07869334907,0.618963976835267
"CA-Gro",443.285652940776,381.333171857335,0.860242530583957
"CA-LP1",372.004698546446,249.915189297967,0.671806539741229
"CA-Qfo",383.64401741855,292.770573155697,0.763130818840032
"CA-TP3",776.092874683202,443.914648923928,0.571986502395261
"CL-SDF",950.346857446006,648.478175952047,0.682359467883956
"US-ALQ",431.804682277326,505.450947260908,1.17055457711847
"US-BZB",325.988201163481,261.304834613285,0.801577583730529
"US-BZF",344.099389034071,318.602479698037,0.925902485884654
"US-BZS",260.610795598316,248.079470286071,0.951915555595171
"US-EML",418.457086803814,270.374069230663,0.646121377214058
"US-GLE",428.052128081982,563.24062624719,1.31582251155008
"US-Ho1",641.36475002986,356.744741337646,0.55622754652643
"US-Ho2",805.490605876564,393.693652509294,0.488762562389989
"US-ICh",265.912884754915,137.288827478716,0.51629249784286
"US-ICs",242.481996443069,136.20655001558,0.561718197695385
"US-ICt",316.246626419708,170.620380417436,0.539516839591506
"US-KFS",951.410173590478,572.187745774978,0.601410161103941
"US-Kon",1077.15290550325,725.361615316515,0.673406358197233
"US-Me2",1146.13937465046,485.332550359211,0.423449853563599
"US-MOz",1202.55132146882,586.528735950418,0.487736968459707
"US-NC4",997.72831804921,998.919249000104,1.00119364252708
"US-Oho",902.35532234108,614.642597455054,0.681153623453363
"US-Rls",1250.21077192747,383.374663106841,0.306648024249372
"US-Rms",911.996186230241,453.846445353285,0.497640727237326
"US-Ro4",625.146072468033,394.621987677163,0.63124764764053
"US-Rwf",1044.19948605591,504.768831737823,0.48340268165081
"US-Rws",825.200441898682,278.973972082178,0.338068132198638
"US-Syv",529.069748919496,533.042637292714,1.00750919586941
"US-Ton",1488.3807280456,393.449652079874,0.264347451338283
"US-Tw1",1022.22153542999,941.072119036661,0.920614648018353
"US-UMB",927.876859186844,420.680269801057,0.453379417361185
"US-UMd",811.83583256234,415.241230844671,0.511484236331469
"US-Var",917.553544453037,303.459552805589,0.330726805689018
"BR-Sa1",1258.5322201771,1164.01389930509,0.924897972926984
"CA-Ca3",640.026641542194,409.612412913092,0.639992753936148
"CA-Man",321.59172217839,276.628757981613,0.860186189208451
"CA-Mer",572.402086424651,443.623640592202,0.775021005536811
"CA-Oas",379.846649533174,379.455587988636,0.998970475203562
"CA-Obs",368.458415146034,322.480380843714,0.875215133072488
"CA-Ojp",364.9994372977,253.036238736576,0.693251037891863
"CA-TP4",790.451406626847,465.493788428866,0.588896147854683
"US-Ced",963.238388580854,708.838916185072,0.735891472545451
"US-CMW",1485.35840094491,669.586341702665,0.450791096126503
"US-Elm",1228.77825366785,1093.5393618027,0.889940360303846
"US-LL1",1328.57825137972,827.174893389258,0.622601561127652
"US-LL2",1353.57600590197,898.742872804729,0.663976658042074
"US-LL3",1429.52504875252,893.69721071183,0.625170724704487
"US-Los",530.225665845877,423.826633497448,0.799332549889511
"US-NC2",1090.25504703403,901.305351863628,0.82669220776879
"US-PFa",322.798383646799,334.564920838574,1.0364516608133
"US-Slt",948.347007518897,633.170523860097,0.667657006180283
"US-Snd",1155.31760583763,727.602635144244,0.62978581081755
"US-SP3",1098.67121457337,817.285410496229,0.743885340450638
"US-Uaf",258.622247802355,188.618022643079,0.72931862686162
"US-WCr",486.351094857781,405.300469544102,0.833349557201306
"BE-Bra",788.176555602148,340.702789816782,0.432267094720285
"BE-Dor",508.574556197544,303.361818029808,0.596494288463724
"BE-Maa",720.319417558294,334.140796825913,0.463878647001588
"BE-Vie",664.103941430287,373.955860761979,0.563098390828078
"CH-Dav",491.688524081306,553.679987572075,1.12607872759812
"CZ-BK1",565.68146024241,397.111857997205,0.702006139333312
"CZ-Lnz",903.169191607773,581.241442074612,0.643557649525132
"DE-HoH",862.143393645222,552.708035331826,0.641085971783563
"DE-Tha",840.533092058994,395.587675493356,0.470639025673948
"DK-Sor",729.855725752066,423.546502368863,0.580315379361349
"FI-Hyy",363.974120435133,312.92896441736,0.859756083875555
"FI-Sii",388.962518170887,315.705000057944,0.811659183878591
"FR-Bil",947.897819027841,627.356513822202,0.661839811453112
"FR-FBn",1248.22717210182,451.788465178802,0.361944103826917
"FR-Fon",835.704829537766,611.627637888581,0.731870411981317
"FR-Hes",912.830282927658,549.464056402493,0.601934518035746
"IT-Cp2",1044.3725150366,500.503500973077,0.479238484129907
"IT-MBo",494.625589454663,471.898013172468,0.954050949310461
"IT-Ren",517.345674018808,571.500626214346,1.10467846725161
"IT-SR2",922.321602962209,746.533892649945,0.809407358834827
"SE-Deg",383.334737989609,268.936435129797,0.701570738254061
"SE-Htm",588.749769495225,366.253600708938,0.622087038816086
"SE-Nor",624.099296667416,348.047466503355,0.557679632651197
"SE-Svb",342.930150925042,290.215558104413,0.846281837049224
"CH-Aws",593.361270674008,828.504739983244,1.39629055843522
"CH-Cha",536.78813729199,726.240529019243,1.3529369942544
"CH-Fru",496.19989069848,660.306440775152,1.33072669533576
"CH-Lae",712.073490561748,740.773491129281,1.04030482941429
"CZ-RAJ",683.263245918246,349.367679217257,0.511322219224214
"CZ-Stn",688.614684223405,386.652612927692,0.561493418287682
"CZ-wet",502.2949039307,478.026645602502,0.951685238814316
"DE-Akm",557.093052522403,507.193648360047,0.910428959872283
"DE-Gri",543.020521498249,437.145067441642,0.805024948662188
"DE-Hai",741.693582320716,359.675942948577,0.484938728771486
"DE-Hzd",618.292803896789,531.759836813567,0.860045327168862
"DE-Obe",648.249639294851,382.171217698897,0.589543278596519
"DE-RuR",530.149828468357,542.120621781218,1.02258001921352
"DE-RuW",659.810927335776,697.60288436267,1.05727694929136
"ES-Agu",1089.67989856859,200.409960252347,0.183916359763641
"ES-LJu",887.918592386357,257.243149277821,0.28971479084187
"FI-Let",381.40776192771,380.004935440321,0.996321977087466
"GF-Guy",1406.05493139312,1284.58183666845,0.913607148616651
"IL-Yat",1748.29096347709,263.013270954988,0.150440216445376
"IT-Lav",599.375485611447,598.629987372033,0.998756208324647
"IT-Tor",498.504567411114,521.614405415504,1.04635832751625
"RU-Fyo",408.293503778683,384.222951712854,0.941045958745215
