site_ID,PET,AET,AI,
CA-Ca1,723.2773088,367.0613442,0.507497387,
CA-Ca2,524.164904,281.2597935,0.536586466,
CA-Cbo,819.7966431,483.48223,0.589758734,
CA-Gro,812.5879976,387.9016183,0.477365675,
CA-LP1,696.1887965,254.4288108,0.365459502,dry
CA-Qfo,633.4123412,298.5303878,0.471304975,
CA-TP3,808.687366,449.2674378,0.555551449,
CL-SDF,940.3327125,654.7871933,0.696335653,wet
US-ALQ,421.3467135,513.8451733,1.219530512,wet
US-BZB,340.962522,267.2883455,0.783922948,wet
US-BZF,362.8985518,325.751278,0.897637305,wet
US-BZS,448.8675271,253.7995829,0.565422018,
US-EML,620.8155435,276.1524626,0.444822082,
US-GLE,932.9923612,574.8286879,0.616112963,cold
US-Ho1,NA,NA,NA,cold
US-Ho2,NA,NA,NA,cold
US-ICh,425.98648,141.0314296,0.331070201,cold
US-ICs,287.967072,140.0353081,0.486289308,cold
US-ICt,500.8117756,174.9037739,0.349240538,cold
US-KFS,970.545702,576.8453832,0.594351592,
US-KLS,954.6584165,612.4776292,0.641567307,wet
US-Kon,1137.245867,731.1606105,0.642922196,wet
US-KS2,1306.600259,795.4587375,0.608800382,
US-Me2,1161.1933,491.7500282,0.423486794,
US-MOz,1283.004067,590.9954191,0.460634096,
US-NC1,1117.395995,682.2183151,0.610543011,
US-NC3,1056.963734,991.486552,0.938051628,wet
US-NC4,1013.905509,1003.039144,0.989282665,wet
US-Oho,927.1704479,621.1890725,0.669983684,cold
US-Rls,1255.323423,388.1161027,0.309176182,
US-Rms,918.2393692,460.9176826,0.501958093,
US-Ro4,629.8925409,399.9328138,0.634922289,cold
US-Rwf,1055.707648,511.8963448,0.484884566,
US-Rws,1201.48961,282.0956276,0.234788237,
US-Syv,NA,NA,NA,cold
US-Ton,1509.413088,395.3368119,0.26191426,
US-Tw1,1006.878368,946.9694627,0.940500355,wet
US-Tw4,1115.676868,992.6191907,0.889701327,wet
US-UMB,963.3826899,426.4800544,0.442690178,
US-UMd,858.4415607,420.9523954,0.490368145,
US-Var,910.3736993,305.0488764,0.335080942,
BR-Sa1,,,,
CA-Ca3,,,,
CA-Man,,,,
CA-Mer,,,,
CA-Oas,,,,
CA-Obs,,,,
CA-Ojp,,,,
CA-TP4,,,,
CL-SDP,,,,
US-Ced,,,,
US-CMW,,,,
US-Elm,,,,
US-Esm,,,,
US-LL1,,,,
US-LL2,,,,
US-LL3,,,,
US-Los,,,,
US-NC2,,,,
US-PFa,,,,
US-Slt,,,,
US-Snd,,,,
US-SP2,,,,
US-SP3,,,,
US-Uaf,,,,
US-WCr,,,,
BE-Bra,840.4749414,314.5786098,0.374286721,
BE-Dor,505.3670562,129.7706848,0.256785011,
BE-Vie,679.1104171,375.9241781,0.553553838,
CH-Aws,619.8423871,840.6972119,1.356308038,
CH-Cha,544.4463232,734.4064546,1.34890516,
CH-Dav,738.2916281,586.1109324,0.793874548,
CH-Fru,526.0411007,668.9282183,1.271627288,
CH-Lae,753.4775266,750.0186822,0.995409492,
CZ-BK1,622.0827602,360.7595883,0.579922177,
CZ-RAJ,702.913115,353.8485707,0.503403,
CZ-Stn,718.8632325,391.3055748,0.544339392,
CZ-wet,512.1392189,483.9036373,0.944867371,
DE-Akm,567.2474387,513.0372057,0.904432829,
DE-Gri,566.9219386,442.5257466,0.780576154,
DE-Hai,782.5150394,364.1855606,0.465403912,
DE-Hzd,636.9403165,537.9197254,0.844537096,
DE-Obe,697.6211589,387.5681498,0.555556759,
DE-RuR,538.194046,548.9966186,1.020071892,
DE-RuW,683.5668798,706.3104675,1.033271928,
DE-Tha,905.5168291,404.6016641,0.446818492,
DK-Sor,770.4424641,442.4128211,0.574232135,
ES-Agu,1493.049875,201.143325,0.134719763,
ES-LJu,1253.3239,259.608729,0.207136183,
FI-Hyy,654.3055051,319.5412318,0.488367023,
FI-Let,541.8153162,385.94977,0.712327169,
FR-FBn,1261.187373,483.1181222,0.383066095,
FR-Fon,868.2199443,642.6446822,0.7401865,
GF-Guy,1440.797486,1279.424661,0.887997566,
IL-Yat,1751.203629,263.7685413,0.150621285,
IT-Cp2,1081.088229,413.4895723,0.382475326,
IT-Lav,627.8729893,606.8126464,0.966457638,
IT-MBo,506.4287366,507.6420655,1.002395853,
IT-Ren,650.4053973,579.3275706,0.890717656,
IT-SR2,927.4749693,765.8160076,0.82569992,
IT-Tor,517.4804042,530.7699992,1.025681349,
RU-Fyo,559.3496804,390.1930072,0.69758332,
SE-Deg,401.8908594,267.3138031,0.665140291,
