"climate_veg","exposure","outcome","effect_type","estimate","ci_lower_2.5","ci_lower_5","ci_upper_95","ci_upper_97.5","formula"
"wet_cold_ENF","Age","Height","direct",0.120120671003912,-0.223353825,-0.16359175,0.4116371,0.4604206,"Height ~ Age"
"wet_cold_ENF","Age","NEE_trend","direct",-0.0245763770596,-0.40083175,-0.33733265,0.287333099999999,0.3489422,"NEE_trend ~ Age + Height + P_gs_t + SW_gs_t + (1|site_ID)"
"wet_cold_ENF","Age","SW_gs_t","direct",-0.26758637277765,-0.641414575,-0.5812998,0.0368632499999998,0.0985893749999999,"SW_gs_t ~ Age + (1|site_ID)"
"wet_cold_ENF","Height","LE_gs_t","direct",-0.1833476955187,-0.5506049,-0.49266845,0.1261833,0.1924114,"LE_gs_t ~ Height + P_gs_t + SW_gs_t + (1|site_ID)"
"wet_cold_ENF","Height","Lgs_t","direct",0.163925681962037,-0.17905995,-0.1181328,0.4497778,0.50761035,"Lgs_t ~ Height + P_gs_t + SW_gs_t + (1|site_ID)"
"wet_cold_ENF","Height","NEE_trend","direct",-0.192450806841088,-0.522079675,-0.4759803,0.08599058,0.14274085,"NEE_trend ~ Height + Age + LE_gs_t + Lgs_t + P_gs_t + SW_gs_t + TA_gs_t + (1|site_ID)"
"wet_cold_ENF","LE_gs_t","NEE_trend","direct",-0.05540388552345,-0.377886975,-0.32463785,0.2125195,0.2694828,"NEE_trend ~ LE_gs_t + Height + P_gs_t + SW_gs_t + TA_gs_t + (1|site_ID)"
"wet_cold_ENF","Lgs_t","NEE_trend","direct",-0.3947730542145,-0.721860075,-0.66679095,-0.1199675,-0.0542617175000001,"NEE_trend ~ Lgs_t + Height + P_gs_t + SW_gs_t + TA_gs_t + (1|site_ID)"
"wet_cold_ENF","P_gs_t","LE_gs_t","direct",-0.224203138982187,-0.535388325,-0.48282905,0.0466863549999997,0.108711575,"LE_gs_t ~ P_gs_t + Height + SW_gs_t + (1|site_ID)"
"wet_cold_ENF","P_gs_t","Lgs_t","direct",-0.324451958276625,-0.653620075,-0.5945479,-0.0545996750000004,-0.00468500975000008,"Lgs_t ~ P_gs_t + Height + SW_gs_t + (1|site_ID)"
"wet_cold_ENF","P_gs_t","NEE_trend","direct",-0.447227868383875,-0.75948405,-0.71057375,-0.1873117,-0.139598375,"NEE_trend ~ P_gs_t + Age + Height + LE_gs_t + Lgs_t + SW_gs_t + TA_gs_t + (1|site_ID)"
"wet_cold_ENF","P_gs_t","SW_gs_t","direct",-0.1498687374807,-0.4868965,-0.426854,0.12400915,0.1788297,"SW_gs_t ~ P_gs_t + (1|site_ID)"
"wet_cold_ENF","SW_gs_t","LE_gs_t","direct",-0.2405668784141,-0.611908275,-0.5607048,0.096463185,0.1604581,"LE_gs_t ~ SW_gs_t + Height + P_gs_t + TA_gs_t + (1|site_ID)"
"wet_cold_ENF","SW_gs_t","Lgs_t","direct",-0.21516553077825,-0.571288575,-0.5120888,0.074156995,0.135512375,"Lgs_t ~ SW_gs_t + Height + P_gs_t + TA_gs_t + (1|site_ID)"
"wet_cold_ENF","SW_gs_t","NEE_trend","direct",0.1742206899478,-0.1530647,-0.095375675,0.4452151,0.49265985,"NEE_trend ~ SW_gs_t + Age + Height + LE_gs_t + Lgs_t + P_gs_t + TA_gs_t + (1|site_ID)"
"wet_cold_ENF","SW_gs_t","TA_gs_t","direct",0.296711991606038,-0.0325997775,0.022627975,0.5712554,0.62685775,"TA_gs_t ~ SW_gs_t + (1|site_ID)"
"wet_cold_ENF","TA_gs_t","LE_gs_t","direct",-0.051856635199075,-0.3897827,-0.33026225,0.2366969,0.295843975,"LE_gs_t ~ TA_gs_t + SW_gs_t + (1|site_ID)"
"wet_cold_ENF","TA_gs_t","Lgs_t","direct",-0.26292692103805,-0.61333155,-0.5543705,0.0294274149999999,0.091294065,"Lgs_t ~ TA_gs_t + SW_gs_t + (1|site_ID)"
"wet_cold_ENF","TA_gs_t","NEE_trend","direct",-0.0586151227090875,-0.368500925,-0.31898775,0.2013358,0.251152525,"NEE_trend ~ TA_gs_t + Height + LE_gs_t + Lgs_t + P_gs_t + SW_gs_t + (1|site_ID)"
