"site_ID","year_start","year_end","NEE","NEEtrend_lm","NEEp","GPP","GPPtrend_lm","GPPp","ER","ERtrend_lm","ERp","NEEtrend_unit","source","Lat","TA_t","TA_p","TA_gs_t","TA_gs_p","TA_ngs_t","TA_ngs_p","P_t","P_p","P_gs_t","P_gs_p","P_ngs_t","P_ngs_p","VPD_t","VPD_p","VPD_gs_t","VPD_gs_p","VPD_ngs_t","VPD_ngs_p","SW_t","SW_p","SW_gs_t","SW_gs_p","SW_ngs_t","SW_ngs_p","LE_t","LE_p","LE_gs_t","LE_gs_p","LE_ngs_t","LE_ngs_p","CO2_t","CO2_p","Lgs_t","Lgs_p","Lgs_piece_t","Lgs_piece_p","MAT","MAP","Height","Age","Nmean","Ntrend_lm","Np","IGBP"
"BE-Bra",1999,2009,-71.5170258879955,-0.314926656913397,0.028567681801513,1324.27296537772,6.11647823546798,0.754454177494089,1334.47577169466,-37.8187706226835,0.754454177494089,-44.2308149417508,"EuropFlux_FLUXNET2023",51.30761,0.0621571792027582,0.754454177494089,0.146708324752253,0.602167527748196,0.0898095713863066,0.602167527748196,-0.164474940048393,0.251452186508022,-0.112431849397901,0.465512169874187,-0.108736814400473,0.465512169874187,0.240829293039046,0.0763327403763572,0.278979888319477,0.0476039547278715,0.17927475773978,0.0763327403763572,0.229281236149481,0.117850895021365,0.0846125769426753,0.602167527748196,0.282308946290511,0.0476039547278715,0.194165780565274,0.465512169874187,0.180452509453625,0.465512169874187,-0.15028559080085,0.465512169874187,NA,NA,-0.138033179020043,0.536186771900174,-0.138033179020043,0.536186771900174,9.8,750,20.32697944,78,37.2126426696777,-0.230037691854099,3.43468180275733e-05,"MF"
"BE-Bra",2011,2023,-206.935653598073,-0.00423494317038392,0.951352130954404,1702.70636479284,6.25233855894898,0.582950557761892,1636.13724535034,-10.4956905502786,0.502158251500749,-0.625216703000116,"EuropFlux_FLUXNET2023",51.30761,0.169956993403561,0.044083783741321,0.187418982219621,0.0173433591624235,0.117913496740043,0.299665448434302,0.100389276246229,0.537133857176902,-0.026095916006867,0.9453298708327,0.156384328145212,0.192616274329602,0.202563683770241,0.0327356095883208,0.186502658787517,0.0585875753104889,0.07752111581847,0.246387360029247,0.149385739204709,0.0585875753104889,0.187157814592609,0.0123715812045243,0.0591931255516268,0.951352130954404,0.17759390155113,0.0327356095883208,0.139632899312533,0.0768508722678888,0.163593342004567,0.0327356095883208,4.22762983098104,1.16480944241624e-05,-0.136093322965669,0.160555891435809,-0.136093322965669,0.160555891435809,9.8,750,20.32697944,91,37.2126426696777,-0.230037691854099,3.43468180275733e-05,"MF"
"BE-Dor",2011,2023,-73.8127326039416,0.214498447395183,0.0617066900283127,2122.93658322248,2.00608127766717,1,2076.34872134487,10.6902580247986,0.640428787412791,26.229182576667,"EuropFlux_FLUXNET2023",50.311876,0.196690752066514,0.0617066900283127,0.211112538657107,0.0429601460284251,0.0969438156953167,0.436274928840529,0.0362660925397106,0.533416513472694,-0.118331130688945,0.436274928840529,0.197791306322069,0.0292725091863045,0.28383046187556,0.00309344932276118,0.288892837136593,0.0127313642699235,0.228554641331671,0.00184572131769627,0.251877171840782,0.0292725091863045,0.256237044838439,0.0081234233042735,-0.130795069987467,0.212911902811505,0.400987011075076,0.462432726450476,0.33789034170228,0.462432726450476,0.578311339421987,0.220671361919847,2.49095757580764,0.0901868677239605,-0.146623268201648,0.275757847827509,-0.153538033393032,0.119470986771701,10.0743084379615,638.875545454537,5.388118879,NA,21.6849976948329,-0.201126388304122,0.00153979351792421,"GRA"
"BE-Maa",2018,2024,2.87400645827403,-0.227001800255454,0.76389059347054,890.632253667541,77.5660108008975,0.0162609367804503,863.833489195166,73.8115967246387,0.0354981313206625,-7.28775115050569,"EuropFlux_FLUXNET2023",50.979868,0.0753375775268854,0.707114231289961,-0.0551779925830823,1,0.186984181687348,0.367520738242143,0.25267683731261,0.22955621387892,0.381605261315189,0.13312848419606,-0.0905000838202023,0.548005572361309,-0.366492205872424,0.25965635637045,-0.290360030654097,0.22955621387892,-0.400575525201439,0.367520738242143,-0.501911482274858,0.132854955731054,-0.166418454052422,0.22955621387892,-0.329370531699185,0.367520738242143,0.239083937060802,0.367520738242143,0.406711577023186,0.0715054164448745,0.111345853588473,0.22955621387892,NA,NA,-0.0535055657310482,0.76389059347054,0.14367388923459,0.76389059347054,10.9,816.4,12.51372303,NA,35.1006543295724,-0.218597085568257,0.000222817775465797,"CSH"
"BE-Vie",1997,2011,-506.26666644088,-0.0380409574909264,0.766525299523572,1764.67553663333,24.16116821606,0.00410140086190388,1279.63061072271,23.71619709367,0.00215349345801261,-5.29810430083,"EuropFlux_FLUXNET2023",50.304962,0.0431446212389976,0.428480419497997,0.0692209695586568,0.0600382909095791,0.013455142914128,0.921158650225025,-0.0861079977472931,0.322299595871919,-0.0325376675709529,0.488422316622593,-0.0814991425840309,0.428480419497997,0.0253844504738474,0.488422316622593,0.00314323862229932,1,0.0454496395064846,0.428480419497997,0.0314013213127206,0.552615125062848,0.0369903267456625,0.620690717075355,0.0442646926352966,0.620690717075355,0.119890243042999,0.0477612426751037,0.0932830083185077,0.0600382909095791,0.0853041479679672,0.16585666034291,2.84074517920465,4.89177885475371e-07,0.105390803621869,0.100518173207465,0.106990416084884,0.0487449207397066,7.8,1062,25.12945726,93,18.9788641929626,-0.194896246184357,0.002623938516047,"MF"
"BE-Vie",2013,2023,-501.843275699463,-0.216902197929531,0.0127313642699235,1842.29291529752,-23.802968628325,0.0429601460284251,1467.37279122808,-51.6329979228025,0.0429601460284251,-29.417615974115,"EuropFlux_FLUXNET2023",50.304962,0.170290716647552,0.119470986771701,0.176316481645591,0.0867681727038757,0.113476803829625,0.533416513472694,0.181994710572503,0.0292725091863045,0.022525048555516,0.533416513472694,0.210466436313844,0.00184572131769627,0.161402279423559,0.161124949289052,0.124152731636081,0.275757847827509,0.0786048436370809,0.436274928840529,0.231567315766012,0.0195174811821778,0.217691518554641,0.0292725091863045,0.221663457168567,0.0867681727038757,0.0454500808399918,0.755496874928883,-0.0026612150910658,1,0.149284377151636,0.350201389179296,NA,NA,0.0773607383215928,0.306078792622595,0.0773607383215928,0.306078792622595,7.8,1062,25.12945726,107,18.9788641929626,-0.194896246184357,0.002623938516047,"MF"
"BR-Sa1",2002,2011,122.138345840183,0.0674509065841354,1,3480.70344815839,-5.15066291059259,1,3602.84179399857,-0.997541576607996,1,11.8397218373426,"AmeriFlux_BASE",-2.8567,-0.075945278319125,0.76389059347054,-0.075945278319125,0.76389059347054,-0.075945278319125,0.76389059347054,0.382530025817353,0.0715054164448745,0.382530025817353,0.0715054164448745,0.382530025817353,0.0715054164448745,-0.0378424257725362,0.548005572361309,-0.0378424257725362,0.548005572361309,-0.0378424257725362,0.548005572361309,-0.150981548712214,0.22955621387892,-0.150981548712214,0.22955621387892,-0.150981548712214,0.22955621387892,0.019461587845796,1,0.019461587845796,1,0.019461587845796,1,2.25988606165926,0.00363037839273207,0,0,0,0,26.13,2074.79,40,300.5,11.6348099708557,0.159799209850432,0.0231217977463785,"EBF"
"CA-Ca1",1998,2010,-338.448692307692,-0.138148117675245,0.160555891435809,1948.47692307692,16.8941666666667,0.00604371940110763,1560.80230769231,18.0930158730159,0.0585875753104889,-16.0123939393939,"AmeriFlux_FLUXNET",49.8673,0.030958270015818,0.582950557761892,0.0774498887167259,0.360121647755378,-0.0111833883488123,0.854777098065548,0.0410459763036299,0.760332307521876,0.0551999302751571,0.360121647755378,0.000521734450016984,0.951352130954404,0.0835347070615425,0.360121647755378,0.0506516108465207,0.360121647755378,0.10485071808435,0.299665448434302,-0.0254054721258654,0.669334014464053,0.0288803677683085,0.951352130954404,-0.086737021473447,0.427710510297464,0.0895775775469661,0.246387360029247,0.083834079655196,0.427710510297464,0.0951894479716192,0.246387360029247,2.22689010989011,6.63395428906548e-09,0.0375310672616745,0.669334014464053,-0.0219122234479811,0.951352130954404,9.93,1369,21.52961167,63,5.49575577463423,-0.167187354213928,0.0159338101471004,"ENF"
"CA-Ca3",2002,2014,-145.510987884165,-0.259696823215268,0.000506100602599274,1889.25761234401,34.4235795473408,0.360121647755378,1878.19884525098,-10.7144278682097,0.582950557761892,-49.9403267345257,"AmeriFlux_BASE",49.5346,0.158869289203506,0.160555891435809,0.124094741913536,0.0768508722678888,0.140088097611974,0.160555891435809,0.0139842872810032,0.760332307521876,0.0690012141318852,0.360121647755378,-0.00065503984181329,1,-0.181889896882419,0.0239875344644269,-0.135904446002019,0.0327356095883208,-0.17381313503443,0.0123715812045243,0.0974149520536321,0.160555891435809,0.00232465711420417,1,0.192879845588382,0.00870615545243421,-0.039143054859357,0.582950557761892,0.123944375192072,0.127203687631099,-0.110847842449594,0.160555891435809,1.82006399736225,0.00137884553283661,0.106723501046962,0.372691490471518,0.114684084126804,0.303673214899419,9.94,1676,24.83058992,21,8.36709039551871,-0.233867307606364,1.5116958691768e-05,"ENF"
"CA-Ca3",2016,2022,-522.370569931334,-0.211120665123153,0.548005572361309,1690.83958660216,19.345452978015,0.76389059347054,1331.11836586208,2.60067280601999,1,-22.736761884913,"AmeriFlux_BASE",49.5346,0.466712564628736,0.22955621387892,0.15363086626486,0.76389059347054,0.334238336484555,0.13312848419606,-0.208735187411169,0.548005572361309,0.0221888514992943,1,-0.321410433555258,0.22955621387892,0.396590984778538,0.13312848419606,0.237368963355741,0.367520738242143,0.446946312633627,0.0162609367804503,0.304598001268504,0.22955621387892,0.112706643736845,0.76389059347054,0.410922381626921,0.0715054164448745,-0.0291067083774593,1,-0.130709465835395,0.76389059347054,0.0242425370993915,1,1.64850744562739,0.288480293830497,-0.120780970453037,0.76389059347054,-0.0430258226292514,1,9.94,1676,24.83058992,32,8.36709039551871,-0.233867307606364,1.5116958691768e-05,"ENF"
