"climate_veg","exposure","outcome","effect_type","estimate","ci_lower_2.5","ci_lower_5","ci_upper_95","ci_upper_97.5","formula"
"wet_cold_ENF","P_gs_t","NEE_trend","total",-0.29652653372025,-0.602836275,-0.54147555,-0.0595897400000002,-0.0141480075,"NEE_trend ~ P_gs_t + (1|site_ID)"
"wet_cold_ENF","Lgs_t","NEE_trend","total",-0.399014921589225,-0.726147125,-0.6771282,-0.1180351,-0.0619284175,"NEE_trend ~ Lgs_t + Height + P_gs_t + SW_gs_t + TA_gs_t + (1|site_ID)"
"wet_cold_ENF","SW_gs_t","NEE_trend","total",0.21982419156975,-0.090148505,-0.032106325,0.4743735,0.53445035,"NEE_trend ~ SW_gs_t + Age + P_gs_t + (1|site_ID)"
"wet_cold_ENF","LE_gs_t","NEE_trend","total",-0.054173513078435,-0.3885812,-0.3350118,0.2186794,0.27157935,"NEE_trend ~ LE_gs_t + Height + P_gs_t + SW_gs_t + TA_gs_t + (1|site_ID)"
"wet_cold_ENF","TA_gs_t","NEE_trend","total",0.07399163082538,-0.231432725,-0.1779669,0.32025125,0.374356125,"NEE_trend ~ TA_gs_t + SW_gs_t + (1|site_ID)"
"wet_cold_ENF","Height","NEE_trend","total",-0.140740343733825,-0.54771905,-0.4770885,0.20185475,0.27432545,"NEE_trend ~ Height + Age + (1|site_ID)"
"wet_cold_ENF","Age","NEE_trend","total",-0.194895631324125,-0.5962826,-0.53199005,0.1385759,0.20512965,"NEE_trend ~ Age + (1|site_ID)"
"wet_cold_DBF_MF","LE_gs_t","NEE_trend","total",-0.484102197213237,-0.939821225,-0.8541866,-0.11584095,-0.0432195525000005,"NEE_trend ~ LE_gs_t + Height + P_gs_t + SW_gs_t + TA_gs_t + (1|IGBP) + (1|site_ID)"
"wet_cold_DBF_MF","Age","NEE_trend","total",0.285092338769713,-0.164366075,-0.08959988,0.66402835,0.74446455,"NEE_trend ~ Age + (1|IGBP) + (1|site_ID)"
"wet_cold_DBF_MF","TA_gs_t","NEE_trend","total",0.167912689519612,-0.354524075,-0.26205415,0.58615355,0.661596425,"NEE_trend ~ TA_gs_t + SW_gs_t + (1|IGBP) + (1|site_ID)"
"wet_cold_DBF_MF","Lgs_t","NEE_trend","total",-0.124809492388238,-0.65539425,-0.56929935,0.3288677,0.4212962,"NEE_trend ~ Lgs_t + Height + P_gs_t + SW_gs_t + TA_gs_t + (1|IGBP) + (1|site_ID)"
"wet_cold_DBF_MF","SW_gs_t","NEE_trend","total",-0.0794606098702738,-0.639656825,-0.5373508,0.38304205,0.47569265,"NEE_trend ~ SW_gs_t + Age + P_gs_t + (1|IGBP) + (1|site_ID)"
"wet_cold_DBF_MF","P_gs_t","NEE_trend","total",-0.0153820784462463,-0.47376215,-0.39389515,0.3602256,0.43343635,"NEE_trend ~ P_gs_t + (1|IGBP) + (1|site_ID)"
"wet_cold_DBF_MF","Height","NEE_trend","total",0.00166797332607501,-0.4557845,-0.3755454,0.3731818,0.443837975,"NEE_trend ~ Height + Age + (1|IGBP) + (1|site_ID)"
"wet_cold_nonforest","Height","NEE_trend","total",-0.477642124257213,-0.84992555,-0.78860675,-0.16211455,-0.0899493100000001,"NEE_trend ~ Height + (1|IGBP) + (1|site_ID)"
"wet_cold_nonforest","P_gs_t","NEE_trend","total",-0.431006179448625,-0.788588225,-0.7316973,-0.13110415,-0.0606777050000002,"NEE_trend ~ P_gs_t + (1|IGBP) + (1|site_ID)"
"wet_cold_nonforest","SW_gs_t","NEE_trend","total",0.465157442586125,0.114939075,0.16744315,0.76843415,0.824265275,"NEE_trend ~ SW_gs_t + P_gs_t + (1|IGBP) + (1|site_ID)"
